Time,Pass,Model,Framework
12.393604,Forward,ResNet152,TorchDynamo
5.54052,Forward,ResNet152,TF-XLA
7.724,Forward,ResNet152,JAX
6.0652,Forward,ResNet152,SMART
12.51123,Gradient,ResNet152,TorchDynamo
16.2705,Gradient,ResNet152,TF-XLA
19.30266,Gradient,ResNet152,JAX
12.2958,Gradient,ResNet152,SMART
503.8,Total,ResNet152,TorchDynamo
555.81102,Total,ResNet152,TF-XLA
435.8,Total,ResNet152,JAX
286.61,Total,ResNet152,SMART
10.8933,Forward,ResNet101,TorchDynamo
3.75067,Forward,ResNet101,TF-XLA
4.18496,Forward,ResNet101,JAX
4.15615,Forward,ResNet101,SMART
8.72569,Gradient,ResNet101,TorchDynamo
21.4952,Gradient,ResNet101,TF-XLA
15.24469,Gradient,ResNet101,JAX
10.116488,Gradient,ResNet101,SMART
348.46,Total,ResNet101,TorchDynamo
383.24587,Total,ResNet101,TF-XLA
322.37,Total,ResNet101,JAX
226.73,Total,ResNet101,SMART
10.8933,Forward,ResNet50,TorchDynamo
3.75067,Forward,ResNet50,TF-XLA
4.18496,Forward,ResNet50,JAX
4.15615,Forward,ResNet50,SMART
8.72569,Gradient,ResNet50,TorchDynamo
21.4952,Gradient,ResNet50,TF-XLA
15.24469,Gradient,ResNet50,JAX
10.116488,Gradient,ResNet50,SMART
195.97,Total,ResNet50,TorchDynamo
213.24587,Total,ResNet50,TF-XLA
211.63,Total,ResNet50,JAX
171.64,Total,ResNet50,SMART
10.8933,Forward,ResNet34,TorchDynamo
3.75067,Forward,ResNet34,TF-XLA
4.18496,Forward,ResNet34,JAX
4.15615,Forward,ResNet34,SMART
8.72569,Gradient,ResNet34,TorchDynamo
21.4952,Gradient,ResNet34,TF-XLA
15.24469,Gradient,ResNet34,JAX
10.116488,Gradient,ResNet34,SMART
69.97,Total,ResNet34,TorchDynamo
165.24587,Total,ResNet34,TF-XLA
88.63,Total,ResNet34,JAX
55.64,Total,ResNet34,SMART
646.2,Forward,WideResNet101,TorchDynamo
657,Forward,WideResNet101,TF-XLA
955.4,Forward,WideResNet101,JAX
668.2,Forward,WideResNet101,SMART
15.13081,Gradient,WideResNet101,TorchDynamo
34.3694,Gradient,WideResNet101,TF-XLA
17.83226,Gradient,WideResNet101,JAX
15.326488,Gradient,WideResNet101,SMART
646.7323921,Total,WideResNet101,TorchDynamo
657.6087,Total,WideResNet101,TF-XLA
955.51316,Total,WideResNet101,JAX
668.848488,Total,WideResNet101,SMART
646.2,Forward,DenseNet121,TorchDynamo
657,Forward,DenseNet121,TF-XLA
955.4,Forward,DenseNet121,JAX
668.2,Forward,DenseNet121,SMART
15.13081,Gradient,DenseNet121,TorchDynamo
34.3694,Gradient,DenseNet121,TF-XLA
17.83226,Gradient,DenseNet121,JAX
15.326488,Gradient,DenseNet121,SMART
206.7323921,Total,DenseNet121,TorchDynamo
257.6087,Total,DenseNet121,TF-XLA
149.51316,Total,DenseNet121,JAX
120.848488,Total,DenseNet121,SMART
646.2,Forward,DenseNet161,TorchDynamo
657,Forward,DenseNet161,TF-XLA
955.4,Forward,DenseNet161,JAX
668.2,Forward,DenseNet161,SMART
15.13081,Gradient,DenseNet161,TorchDynamo
34.3694,Gradient,DenseNet161,TF-XLA
17.83226,Gradient,DenseNet161,JAX
15.326488,Gradient,DenseNet161,SMART
470.7323921,Total,DenseNet161,TorchDynamo
1207.6087,Total,DenseNet161,TF-XLA
352.51316,Total,DenseNet161,JAX
264.848488,Total,DenseNet161,SMART
4.55078,Forward,VGG16,TorchDynamo
4.14505,Forward,VGG16,TF-XLA
4.3923,Forward,VGG16,JAX
4.0751,Forward,VGG16,SMART
8.898246,Gradient,VGG16,TorchDynamo
12.605,Gradient,VGG16,TF-XLA
8.91975,Gradient,VGG16,JAX
6.814,Gradient,VGG16,SMART
292.449026,Total,VGG16,TorchDynamo
469.75005,Total,VGG16,TF-XLA
242.31205,Total,VGG16,JAX
160.8891,Total,VGG16,SMART
4.55078,Forward,VGG19,TorchDynamo
