Time,Pass,Model,Framework
12.393604,Forward,ResNet152,TorchDynamo
5.54052,Forward,ResNet152,TF-XLA
7.724,Forward,ResNet152,JAX
6.0652,Forward,ResNet152,SMART
12.51123,Gradient,ResNet152,TorchDynamo
16.2705,Gradient,ResNet152,TF-XLA
19.30266,Gradient,ResNet152,JAX
12.2958,Gradient,ResNet152,SMART
24.904834,Total,ResNet152,TorchDynamo
21.81102,Total,ResNet152,TF-XLA
27.02666,Total,ResNet152,JAX
18.361,Total,ResNet152,SMART
10.8933,Forward,ResNet101,TorchDynamo
3.75067,Forward,ResNet101,TF-XLA
4.18496,Forward,ResNet101,JAX
4.15615,Forward,ResNet101,SMART
8.72569,Gradient,ResNet101,TorchDynamo
21.4952,Gradient,ResNet101,TF-XLA
15.24469,Gradient,ResNet101,JAX
10.116488,Gradient,ResNet101,SMART
19.61899,Total,ResNet101,TorchDynamo
25.24587,Total,ResNet101,TF-XLA
19.42965,Total,ResNet101,JAX
14.272638,Total,ResNet101,SMART
8.6014,Forward,WideResNet101,TorchDynamo
8.2393,Forward,WideResNet101,TF-XLA
8.6809,Forward,WideResNet101,JAX
8.522,Forward,WideResNet101,SMART
15.13081,Gradient,WideResNet101,TorchDynamo
34.3694,Gradient,WideResNet101,TF-XLA
17.83226,Gradient,WideResNet101,JAX
15.326488,Gradient,WideResNet101,SMART
23.7323921,Total,WideResNet101,TorchDynamo
42.6087,Total,WideResNet101,TF-XLA
26.51316,Total,WideResNet101,JAX
23.848488,Total,WideResNet101,SMART
4.55078,Forward,VGG16,TorchDynamo
4.14505,Forward,VGG16,TF-XLA
4.3923,Forward,VGG16,JAX
4.0751,Forward,VGG16,SMART
8.898246,Gradient,VGG16,TorchDynamo
12.605,Gradient,VGG16,TF-XLA
8.91975,Gradient,VGG16,JAX
6.814,Gradient,VGG16,SMART
13.449026,Total,VGG16,TorchDynamo
16.75005,Total,VGG16,TF-XLA
13.31205,Total,VGG16,JAX
10.8891,Total,VGG16,SMART
8.46803,Forward,Inception-v3,TorchDynamo
6.38499,Forward,Inception-v3,TF-XLA
5.77922,Forward,Inception-v3,JAX
5.7589,Forward,Inception-v3,SMART
8.1918,Gradient,Inception-v3,TorchDynamo
13.37614,Gradient,Inception-v3,TF-XLA
9.04548,Gradient,Inception-v3,JAX
6.37,Gradient,Inception-v3,SMART
16.65483,Total,Inception-v3,TorchDynamo
17.76113,Total,Inception-v3,TF-XLA
14.8247,Total,Inception-v3,JAX
12.1389,Total,Inception-v3,SMART
5.85884,Forward,ViT-Base-16,TorchDynamo
6.38499,Forward,ViT-Base-16,TF-XLA
4.89,Forward,ViT-Base-16,JAX
4.52285,Forward,ViT-Base-16,SMART
17.821954,Gradient,ViT-Base-16,TorchDynamo
13.37614,Gradient,ViT-Base-16,TF-XLA
10.2548,Gradient,ViT-Base-16,JAX
9.544548,Gradient,ViT-Base-16,SMART
23.687838,Total,ViT-Base-16,TorchDynamo
19.76113,Total,ViT-Base-16,TF-XLA
15.2247,Total,ViT-Base-16,JAX
13.96833,Total,ViT-Base-16,SMART
17.1485,Forward,ViT-Large-16,TorchDynamo
14.7984597,Forward,ViT-Large-16,TF-XLA
15.95373,Forward,ViT-Large-16,JAX
14.5373,Forward,ViT-Large-16,SMART
57.06751273,Gradient,ViT-Large-16,TorchDynamo
66.7975,Gradient,ViT-Large-16,TF-XLA
52.234,Gradient,ViT-Large-16,JAX
42.60123222,Gradient,ViT-Large-16,SMART
74.21566123,Total,ViT-Large-16,TorchDynamo
81.597,Total,ViT-Large-16,TF-XLA
68.1842,Total,ViT-Large-16,JAX
57.13916952,Total,ViT-Large-16,SMART
17.1485,Forward,GPT-neo,TorchDynamo
14.7984597,Forward,GPT-neo,TF-XLA
15.95373,Forward,GPT-neo,JAX
14.5373,Forward,GPT-neo,SMART
57.06751273,Gradient,GPT-neo,TorchDynamo
66.7975,Gradient,GPT-neo,TF-XLA
52.234,Gradient,GPT-neo,JAX
42.60123222,Gradient,GPT-neo,SMART
5.21566123,Total,GPT-neo,TorchDynamo
5.597,Total,GPT-neo,TF-XLA
4.8842,Total,GPT-neo,JAX
4.10686952,Total,GPT-neo,SMART
17.1485,Forward,DeiT,TorchDynamo
14.7984597,Forward,DeiT,TF-XLA
15.95373,Forward,DeiT,JAX
14.5373,Forward,DeiT,SMART
57.06751273,Gradient,DeiT,TorchDynamo
66.7975,Gradient,DeiT,TF-XLA
52.234,Gradient,DeiT,JAX
42.60123222,Gradient,DeiT,SMART
2.666123,Total,DeiT,TorchDynamo
3.197,Total,DeiT,TF-XLA
2.8842,Total,DeiT,JAX
2.236952,Total,DeiT,SMART
17.1485,Forward,YOSO,TorchDynamo
14.7984597,Forward,YOSO,TF-XLA
15.95373,Forward,YOSO,JAX
14.5373,Forward,YOSO,SMART
57.06751273,Gradient,YOSO,TorchDynamo
66.7975,Gradient,YOSO,TF-XLA
52.234,Gradient,YOSO,JAX
42.60123222,Gradient,YOSO,SMART
1.46566123,Total,YOSO,TorchDynamo
1.747,Total,YOSO,TF-XLA
1.4742,Total,YOSO,JAX
1.37686952,Total,YOSO,SMART
