BS,Peak Memory Usage (MB),Throughput (img/sec),Model,Framework
1,791.51,56.07727256,VIT-B-16,TorchDynamo
2,943.25,69.09613149,VIT-B-16,TorchDynamo
3,1103.02,85.19651632,VIT-B-16,TorchDynamo
4,1309.13,86.31069553,VIT-B-16,TorchDynamo
5,1553.23,93.75052634,VIT-B-16,TorchDynamo
6,1790.61,99.33927679,VIT-B-16,TorchDynamo
7,2027.81,103.6424515,VIT-B-16,TorchDynamo
8,2268.31,101.7828602,VIT-B-16,TorchDynamo
9,2507.43,105.5495294,VIT-B-16,TorchDynamo
10,2802.84,107.4190427,VIT-B-16,TorchDynamo
11,3066.45,110.2577208,VIT-B-16,TorchDynamo
12,3242.55,108.771437,VIT-B-16,TorchDynamo
13,3465.32,110.3536628,VIT-B-16,TorchDynamo
14,3706.07,112.8095686,VIT-B-16,TorchDynamo
15,3953.16,114.4107428,VIT-B-16,TorchDynamo
16,4186.19,113.9766409,VIT-B-16,TorchDynamo
17,4495.23,115.2477796,VIT-B-16,TorchDynamo
18,4685.71,118.1575635,VIT-B-16,TorchDynamo
19,4911.35,119.3807063,VIT-B-16,TorchDynamo
20,5175.08,115.9172833,VIT-B-16,TorchDynamo
21,5384.62,119.5162281,VIT-B-16,TorchDynamo
22,5623.56,119.6425453,VIT-B-16,TorchDynamo
23,6044.07,120.3018096,VIT-B-16,TorchDynamo
24,6163.36,118.6345492,VIT-B-16,TorchDynamo
25,6356.67,117.2203441,VIT-B-16,TorchDynamo
26,6767.72,118.5611193,VIT-B-16,TorchDynamo
1,581.43,91.2781058,VIT-B-16,TorchScript
2,871.56,112.0119338,VIT-B-16,TorchScript
3,1088.18,124.8683297,VIT-B-16,TorchScript
4,1307.37,132.0324263,VIT-B-16,TorchScript
5,1552.47,128.4719568,VIT-B-16,TorchScript
6,1786.33,133.3139336,VIT-B-16,TorchScript
7,2028.29,136.4007605,VIT-B-16,TorchScript
8,2270.92,137.883467,VIT-B-16,TorchScript
9,2532.72,130.227795,VIT-B-16,TorchScript
10,2746.05,137.9521011,VIT-B-16,TorchScript
11,2985.27,141.680582,VIT-B-16,TorchScript
12,3229.1,148.670373,VIT-B-16,TorchScript
13,3532,139.505022,VIT-B-16,TorchScript
14,3705.5,140.6325898,VIT-B-16,TorchScript
15,3944.5,141.6722623,VIT-B-16,TorchScript
16,4184.31,143.2466318,VIT-B-16,TorchScript
17,4428.89,136.9885638,VIT-B-16,TorchScript
18,4667.94,132.4697852,VIT-B-16,TorchScript
19,4905.04,138.8335288,VIT-B-16,TorchScript
20,5143.67,145.5675958,VIT-B-16,TorchScript
21,5383.54,134.3414338,VIT-B-16,TorchScript
22,5624.24,139.2893769,VIT-B-16,TorchScript
23,5867.54,134.3074773,VIT-B-16,TorchScript
24,6111.79,144.2267978,VIT-B-16,TorchScript
25,6346.47,133.6897378,VIT-B-16,TorchScript
26,6719.96,133.6347468,VIT-B-16,TorchScript
1,487.913,104.8218029,VIT-B-16,Nabla
2,658.256,126.2626263,VIT-B-16,Nabla
3,787.758,129.6232285,VIT-B-16,Nabla
4,917.162,134.8799568,VIT-B-16,Nabla
5,1062.094,136.2546327,VIT-B-16,Nabla
6,1200.828,136.3636364,VIT-B-16,Nabla
7,1344.981,136.6760387,VIT-B-16,Nabla
8,1488.213,137.1177842,VIT-B-16,Nabla
9,1640.006,136.9112815,VIT-B-16,Nabla
10,1797.719,137.9082083,VIT-B-16,Nabla
11,1947.782,138.2743363,VIT-B-16,Nabla
12,2062.375,138.5809313,VIT-B-16,Nabla
13,2229.188,139.3653516,VIT-B-16,Nabla
14,2338.891,139.553429,VIT-B-16,Nabla
15,2484.084,140.8715252,VIT-B-16,Nabla
16,2623.346,140.944327,VIT-B-16,Nabla
17,2799.269,141.0086264,VIT-B-16,Nabla
18,2917.282,140.0996264,VIT-B-16,Nabla
19,3052.725,140.2007084,VIT-B-16,Nabla
20,3216.667,141.1631846,VIT-B-16,Nabla
21,3334.08,141.2049489,VIT-B-16,Nabla
22,3476.714,140.4494382,VIT-B-16,Nabla
23,3716.287,141.2776413,VIT-B-16,Nabla
24,3789.909,141.3094677,VIT-B-16,Nabla
25,3908.912,141.3387607,VIT-B-16,Nabla
26,4125.805,140.0258509,VIT-B-16,Nabla
27,4222.9388,140.7422852,VIT-B-16,Nabla
28,4366.710292,140.7884151,VIT-B-16,Nabla
29,4510.481785,140.8313908,VIT-B-16,Nabla
